번호,용어,설명
218,농업총조사,"농업의 구조에 관한 자료를 얻기 위한 전수조사를 말하며 농업사업체, 경지면적, 농가인구, 농기계, 농작물 등을 조사항목으로 한다. 농가 및 농가인구의 규모와 분포, 농업의 경영구조 및 특성을 파악하여 농업정책의 수립, 평가 및 국가경제 주요지표를 작성하고 농업관련 연구의 모집단 자료를 확보하며 농업부문 국가경쟁력 강화를 위해 시행된다. 현재 통계청 주관하에 5년 주기로 실시하고 있다."
219,누진세제,"세금은 부과하는 방식에 따라 정액세와 정률세로 구분할 수 있다. 정액세는 과세대상의 소득, 재산 등의 경제적 여건에 관계없이 일정한 금액을 부과하는 방식인 반면 정률세는 과세대상의 소득, 재산에 대해 일정한 비율의 세금을 부과하는 방식이다. 예컨대 모든 사람에게 10만원씩의 세금을 일괄적으로 걷는 경우는 정액세에 해당하며, 각 개인의 소득에 대해 10%씩 세금을 걷는 경우는 정률세에 해당한다. 따라서 소득이 증가함에 따라 세금부과액이 증가하는 정률세가 정액세보다는 비교적 공평한 과세방식이라고 할 수 있다.*

* 예를 들어 10%의 정률세가 부과되고 있을 때 200만원의 소득을 올리는 사람은 20만원의 세금을 내지만 1,000만원의 소득을 올리는 사람은 100만원의 세금을 납부하게 되어서 소득이 늘어날수록 세금도 늘어난다.

그런데 누진세란 납세의무자의 소득(재산)을 여러 구간으로 나누어 각 구간별로 소득(재산)이 많을수록 더 높은 세율을 적용하는 방식을 말한다. 예를 들어 한 달 소득이 100만원이하이면 5%, 100～500만원이면 10%, 500만원이상이면 24%의 세금을 납부하도록 되어 있는 누진세와 소득에 관계없이, 누진세의 평균세율로서 한 달에 13%(식 1)의 세금을 납부하도록 되어 있는 정률세를 비교해보자. 이제 한 달에 1,000만원을 버는 홍길동씨와 200만원을 버는 임꺽정씨가 각각 납부해야 할 세금이 얼마인지를 계산해보자.

홍길동씨의 경우 누진세 제도에서는 총 165만원(=100만원×0.05 + 400만원×0.1 + 500만원×0.24)의 세금을 납부하게 되지만 정률세에서는 총 130만원(=1,000만원×0.13)의 세금을 납부하게 된다. 따라서 누진세의 세금이 정률세의 세금보다 많다. 한편 임꺽정씨의 경우에는 누진세에서는 총 15만원(=100만원×0.05 + 100만원×0.1)의 세금을 납부하게 되지만 정률세에서는 총 26만원(=200만원×0.13)의 세금을 납부해야 한다. 따라서 누진세의 세금이 정률세의 세금보다 작다.

이상의 예에서 알 수 있듯이 누진세는 과세대상의 소득 및 재산이 커질수록 부담해야 하는 세금은 이 보다 더 큰 폭으로 증가하는 세제이다. 따라서 누진세는 정률세보다도 세금부과의 형평성이 훨씬 강화된 형태의 세금부과 방식이다. 우리나라에서는 주로 소득세, 상속세, 증여세 등의 직접세에 누진세 방식이 적용되고 있다. 특히, 현행 소득세법에 따르면 우리나라의 누진 소득세율은 연간 소득 1,000만원이하인 경우 8%, 1,000～4,000만원인 경우 17%, 4,000～8,000만원인 경우 26%, 8,000만원 초과인 경우 35% 이다."
220,다가구주택,"여러 가구가 살 수 있도록 건축되어진 주택으로서 각 구획마다 방, 부엌, 출입구, 화장실이 갖추어져 한 가구씩 독립하여 생활할 수 있으나 각 구획을 분리하여 소유하거나 매매(분양)하기가 불가능한 주택을 말한다."
221,다세대주택,한 건물 내에 여러 가구가 살 수 있도록 건축되어진 주택으로서 건물의 연건평이 200평 이하이면서 건축 당시 다세대주택으로 허가 받은 주택. 주택별로 각각 분리하여 등기가 가능하며 매매 또는 소유의 한 단위를 이루고 있는 점에서 다가구주택과 다르다.
222,다운사이징 / 업사이징 / 라이트사이징,"다운사이징은 은행 또는 회사 등과 같은 대기업에서 대형 컴퓨터로 수행했던 작업을 PC 또는 중소형 서버 등의 소규모 컴퓨터 여러 대를 근거리통신망과 같은 네트웍으로 연결하여 사용함으로써 작업을 수행할 수 있게 환경을 변경하는 작업이다. 이를 통하여 메인프레임과 같은 고가의 장비를 구입하지 않아도 되고, 장비 유지보수료나 전산기계실 운영비용 등이 절감될 뿐 아니라, 업무의 크기나 환경 변화에 정보시스템이 유연하게 대처할 수 있다는 장점을 내세워, 우리나라에서는 90년대 초반에 유행처럼 번지던 정보시스템의 조류이다. 그러나, 일부 은행의 다운사이징이 결국 실패로 평가되면서, IBM을 비롯한 대형 메인프레임 제조업체를 중심으로, 다운사이징은 환상일 뿐이며 기업에 중요한 업무는 중앙의 대형 컴퓨터를 중심으로 이루어져야한다는 주장을 펼치기 시작했는데, 이미 사이즈가 작아진(다운사이징을 한) 정보시스템을 다시 키운다는 의미로 업사이징(up sizing)이라는 분위기가 조성되기 시작하였다. 한편, 지나친 다운사이징도 또 지나치게 업사이징에 의존하는 것도 모두 문제가 있으며, 무릇 모든 업무는 그 중요성이나 크기에 맞도록 최적의 정보시스템을 설계하고 도입, 운영해야한다는 개념이 바로 라이트사이징(rightsizing)이다."
223,단기금융기관차입금,"단기금융기관차입금이란 당좌차월을 비롯하여 대차대조표일로부터 1년 이내에 지급기일이 도래하는 은행, 보험 및 기타 금융기관으로부터의 단기성 차입금을 말하며 금융기관으로부터의 어음차입금도 이에 포함된다."
224,단기시장금리,"일시적 자금 조달 및 운용을 위한 단기금융시장(화폐시장)에서 형성되는 1년 미만의 금리. 주요 금리로는 콜금리, CD(91일)금리와 CP금리 등이 있음"
225,단기투자증권 ,"단기투자증권은 단기매매증권과 대차대조표일로부터 1년내 만기가 도래하거나 또는 매도 등에 의하여 처분할 것이 거의 확실한 매도가능증권과, 대차대조표일로부터 1년내 만기가 도래하는 만기보유증권을 말한다. 참고로 유가증권에는 보통주, 우선주, 수익증권 또는 자산유동화출자증권, 신주인수권, 콜옵션, 풋옵션 등의 지분증권과 국채, 공채, 사채(전환사채 포함), 자산유동화채권 등의 채무증권 등이 포함된다"
226,단독주택,"주택이라 함은 세대의 세대원이 장기간 독립된 주거생황을 영위할 수 있는 구조로 된 건축물(이에 부속되는 일단의 토지를 포함한다) 또는 건축물의 일부를 말하는 것으로서 단독주택과 공동주택으로 구분된다. 단독주택이라 함은 대지 및 건물의 벽ㆍ복도ㆍ계단 기타 설비 등의 전부를 한 세대가 단독으로 사용하는 구조로 된 주택을 말하며, 공동주택이라 함은 대지 및 건물의 벽ㆍ복도ㆍ계단 기타 설비 등의 전부 또는 일부를 공동으로 사용하는 각 세대가 하나의 건축물안에서 각각 독립된 주거생활을 영위할 수 있는 구조로 된 주택을 말한다."
227,당기순손익 ,당기순손익은 법인세비용차감전순손익에서 법인세비용을 차감한 잔액을 말하며 당해 회계연도의 최종적인 경영성과를 나타낸다
228,당기순이익 ,"공헌이익에서 고정비(제조간접비·영업간접비·일반관리비·금융비용) 및 영업외손익을 공제한 잔액이다. 공헌이익은 직접원가계산의 경우 매출수익에서 직접원가를 공제한 금액이다. 전부원가계산의 경우, 영업이익에서 영업외손익을 공제한 잔액이 당기순이익이다"
229,당기제품제조원가 ,당기제품제조원가는 당기중 제품생산을 위하여 소요된 총비용으로서 기초재공품원가에 당기총제조비용을 가산하고 기말재공품원가와 타계정대체액을 차감하여 계산한다.
230,당기총제조비용 ,"당기중 제품생산을 위하여 투하된 총제조비용을 말하며 원가요소에 따라 재료비, 노무비, 경비로 구분한다. 당기제품제조원가=당기총제조비용+기초재공품재공액-기말제공품재고액"
231,당좌비율 ,유동부채에 대한 당좌자산의 비율로서 유동자산중 현금화되는 속도가 늦고 현금화의 불확실성이 높은 재고자산 등을 제외시킨 당좌자산을 유동부채에 대응시킴으로써 단기채무에 대한 기업의 지급능력을 파악하는데 사용된다. 산성시험비율(Acid test ratio) 또는 신속비율이라고도 하는 이 비율은 기업의 유동성분석을 위한 보조지표로 사용되고 있다.
232,당좌자산 ,"당좌자산은 판매과정을 거치지 않고 즉시 현금화될 수 있는 자산으로 다른 자산의 취득 또는 유동부채의 지급에 충당할 수 있는 자산을 말한다. 이러한 당좌자산은 현금 및 현금등가물, 단기금융상품, 단기투자증권, 매출채권, 미수금 및 기타당좌자산으로 구분된다."
233,대기 및 기후보호,"지구 온난화의 원인이 되는 온실가스(CO2, CH4, N2O, HFCs, PFCs, SF6)나 오존층을 파괴하는 프레온가스(CFCs)의 방출을 억제하거나 대기오염물질이 주변에 응축되는 현상을 감축시키기 위해 취하는 일련의 조치 및 활동"
234,대기오염도,"대기오염은 매연, 먼지, 분진, 아황산가스, 일산화탄소 등으로 오염된 경우를 말한다. 대기오염정도는 오염물질의 배출량뿐만 아니라 지역의 기상 및 지형조건에 따라 크게 영향을 받으며 또한 배출구의 높이, 오염물질의 종류, 배출원의 조건변화에 따라서도 많은 영향을 받는다. 대기오염자동측정망에서 측정된 자료는 환경기준 전항목에 대하여 1시간치 기준으로 일별 평균, 최고 및 최저치로 구분·분석하여 전산처리한 후 별도의 마그네틱테이프에 보관하여 관리되고 있으며, 90년 4월부터 매월 전국 측정소의 오염도를 평균, 최고, 최저치 및 초과 횟수 등으로 분석한 자료가 언론 등에 공표되고 있다."
235,대기오염물질 배출량,"대기오염물질 배출량은 아황산가스(SO2), 먼지(TSP), 이산화질소(NO2), 일산화탄소(CO) 등과 같은 대기환경기준 설정 항목과 탄화수소(HC)를 대상으로 산출하고 있으며, 오존(O3)은 인간활동에 의해서 직접 발생하는 것이 아니라 자연 또는 인위적으로 발생된 질소산화물(NOX)과 같은 대기오염물질이 태양에너지 등에 의해 2차적으로 생성되는 물질이므로 그 발생량을 산출대상에서 제외하고 있다. 산출방법으로는 사업장에서 배출되는 오염물질을 실측하는 방법과 배출계수 등을 이용하여 이론적으로 계산하는 방법이 있다. 연료별 배출계수를 이용한 산출방법은 비교적 용이하게 계산할 수 있다는 장점이 있으나, 사용시설의 종류와 조건, 방지시설의 효율성 등 여러 가지 변수에 따라 산출된 배출량이 실제 배출량과 차이가 있을 수 있다. 현재 환경부에서는 연간 유류소비실적과 석탄소비실적을 토대로 미국 환경보호처(EPA)에서 발표한 배출계수(AP-42) 및 국내에서 개발한 자동차 배출계수를 적용하여 대기오염물질 배출량을 추정하고 있다"
236,대손상각비 ,대손상각비는 회수가 불확실한 매출채권에 대하여 산출한 대손처리액과 회수가 불가능한 매출채권을 상각처리한 것을 말한다. 일반적인 상거래에서 발생한 매출채권에 대한 대손상각은 판매비와 관리비로 회계처리하고 기타채권에서 발생한 것은 영업외비용으로 처리한다.
237,대외의존도,"한 국가의 국민경제가 3가지 경제주체, 즉 가계 기업 정부간의 상호작용으로만 단순하게 요약될 수 있는 경제체제를 폐쇄경제 체제라고 한다. 반면에 국민경제가 이들 경제주체 이외에 해외부문(외국)과의 상호작용에 의해서도 영향을 받게 되는 경제체제를 개방경제 체제라고 하며 아래의 <그림 1>과 같이 간략하게 표현할 수 있다.

대외의존도란 위와 같은 개방경제 체제하의 국민경제에서 해외부문과의 거래가 차지하는 크기를 측정하는 지표이다. 구체적으로 대외의존도는 국민소득에서 수출과 수입이 차지하는 비중으로 <식 1>과 같이 계산된다. 이 때 국민소득 지표로는 국내총생산(GDP)이나 국민총소득(GNI)이 이용된다.

대외의존도가 높으면 높을수록 해외부문의 여건 변화가 한 국가의 국민경제에 미치는 영향이 커지게 됨을 의미한다. 세계화 시대에서 경제의 대외의존도 확대는 불가피한 측면이 있으나 지나치게 높은 대외의존도는 궁극적으로 국민경제의 구조적 불안정 요인으로 작용할 수 있는 위험 또한 포함하고 있다. 참고로 명목 국내총생산(GDP)을 기준으로 한 2004년 주요국별 대외의존도는 한국 70.3%, 미국 20.0%, 일본 21.8%, 독일 59.2%을 보였다.(OCED, IMF 통계자료 인용)"
238,대외증권투자현황 조사(CPIS),"일정 시점에 있어서 한나라와 다른 나라 사이에 이루어진 국제 증권투자(portfolio investment) 규모를 측정하는 서베이를 말하며, 국제자본의 흐름을 정확히 측정하고 국제 증권투자 관련 통계의 괴리 문제를 해결하기 위해 1997년 IMF 주도하에 조사가 시작되었다. 현재 한국은행이 매분기마다 동 조사를 실시하고 있다."
239,대차대조표 ,대차대조표는 일정시점에 있어서 기업의 재무상태를 나타내는 재무보고서로서 대차대조표의 차변에 기록되는 자산항목은 기업이 소유한 자산의 종류를 나타내며 대변에 기록되는 부채 및 자본항목은 자본의 조달구조를 나타낸다. 또한 대차대조표는 기업의 유동성과 재무적 융통성(financial flexibility)에 관한 정보를 제공한다.
240,대형소매점 ,"매장면적이 3,000㎡이상인 대형점으로 백화점, 대형마트, 기타 대형점으로 분류하며 기타 대형점은 백화점과 대형마트를 제외한 나머지 매장면적 3,000㎡이상 소매점을 말한다."
241,데이터 마이닝,"정보기술이 발전하면서 과거 전산화되지 않았던 자료들이 전산화되어 DB에 많은 정보가 축적되게 되었다. 그 결과 많아진 데이터들을 모두 분석하여 활용하기에는 한계가 있기 때문에 새로운 개념의 데이터 분석기법이 필요하게 되었는데 그 개념이 데이터 마이닝이다.
데이터 마이닝은 이전에는 발견되지 않았던 데이터들간의 상호관계, 패턴 등을 찾아내는 기법으로 분석에 활용된다. 예를 들어, 만약 특정 상표의 테니스 라켓 판매기록이 충분히 분석되고 다른 시장데이터와 관련지어졌다면, 같은 회사의 골프 장비 구입과의 계절적인 상호관계를 밝힐 수 있을 것이다. 데이터 마이닝의 결과는 다음과 같은 것들을 포함한다:
①연합 : 한 사건이 다른 사건과 상호 관련이 있을 수 있을 때(맥주 구입자가 땅콩을 함께 사는 확률),
②연속 : 한 사건이 뒤의 다른 사건을 유발 (마루깔개를 사고 이어서 커튼을 구입),
③분류 : 패턴을 인식하고 새롭게 분류된 데이터를 창출하기 (예를 들어 구매를 하는 고객들의 신상),
④집단화 : 이전에는 알려지지 않았던 사실 집단을 발견하고 가시화 하기,
⑤예측 : 데이터 내에서 단순히 발견되는 패턴을 통해 미래에 관한 예측을 할 수 있다"
242,데이터베이스,"데이터베이스는 그 내용을 쉽게 접근하여 처리하고 갱신할 수 있도록 구성된 데이터의 집합체이다. 가장 널리 보급된 데이터베이스는 데이터를 다양한 방법으로 접근하고 재구성될 수있도록 정의한 테이블형의 데이터베이스인 관계형 데이터베이스(relational database)이다. 분산 데이타베이스(distributed database)는 네트웍상의 여러 다른 지점에 분산되어 있거나 중복되어 있는 데이터베이스를 말하며, 객체지향 데이터베이스는 객체 클래스와 서브 클래스로 정의된 데이터가 서로 일치하는 데이터베이스이다. 사용자는 데이터베이스 관리도구(database manager)를 이용하여 데이터의 읽고/쓰기를 제한하거나, 보고서 작성 또는 데이터의 활용도를 분석할 수 있다. 데이터베이스와 그 관리도구는 대형 메인프레임에 주로 적용되었지만, 요즘에는 AS/400과 같은 소형 분산 워크스테이션(workstation)과 중형급의 시스템 뿐만 아니라 개인용 컴퓨터에도 사용된다."
243,도덕적 해이,"소송의뢰인과 변호사, 가수와 매니저, 회사주주와 경영자 등의 관계처럼 어느 한 쪽이 다른 한 쪽의 이익을 위해서 행동하는 관계를 본인-대리인(principal-agent) 관계라고 한다. 이러한 본인-대리인 관계에서 일반적인 경우 본인(소송의뢰인, 가수, 회사주주)은 대리인(변호사, 매니저, 경영자)이 본인의 이익을 극대화시키기 위해 최선을 다할 것이라고 믿는다.

그런데 본인-대리인 관계에서는 본인이 대리인의 행동 또는 속마음을 모두 감시하거나 관찰하는 것은 사실상 거의 불가능하다. 또한 대리인은 본인보다도 해당 분야에 대한 전문지식을 많이 보유하고 있는 경우가 많다. 이처럼 본인-대리인 관계에서 본인이 갖게 되는 정보가 대리인의 정보보다 본질적으로 열등할 수밖에 없게 되는 상황을 마치 저울의 무게가 한 쪽으로 기울어진 것에 빗대어 “정보의 비대칭성”이라고 한다.

이와 같은 정보의 비대칭성하에서 본인과 대리인의 이해관계가 충돌하는 경우에 우수한 정보를 보유한 대리인은 표면상으로는 본인의 이익을 위하는 척하지만 실제로는 대리인 자신의 이익을 위해 행동을 할 가능성이 높게 된다. 이처럼 본인-대리인 관계에서 정보의 비대칭성으로 인해 대리인이 본인의 이익에 반하는 행동을 하게 되는 상황을 도덕적해이(moral hazard)라고 한다.

현실에서는 이러한 도덕적해이를 극복하기 위한 다양한 유인(incentive)을 설계하기 위해 노력을 하고 있다. 예컨대 회사주주와 경영자의 경우를 생각해보자. 본인인 주주는 회사의 주가가 오르는 것이 가장 유리하고 경영자는 높은 보수를 받는 것이 유리하다. 이 때 스톡옵션 등을 통해 회사의 주가가 오르면 경영자에게 높은 보수를 주겠다고 유인을 설계하면 주주는 경영자의 행동을 감시할 수는 없지만 경영자가 주가 상승을 위해 열심히 노력할 가능성은 상대적으로 높아질 것이라고 기대할 수 있다. 이러한 예에서 볼 수 있듯이 유인설계의 핵심은 본인과 대리인의 경제적 이해관계를 가급적이면 일치시키는 데 있다고 할 수 있다."
244,도로포장률,도로종류별 현황을 파악하여 도로에 대한 장래 계획의 수립과 도로유지·관리 및 도로행정에 필요한 기본자료를 제공하기 위한 도로현황을 조사하기 위하여 사용되는 수치산정방법인 도로포장율은 전 도로연장(길이)에 대한 포장 도로연장 비율(%)로 나타낸다. 
245,도매업,"도매업은 구입한 신품 또는 중고품을 변형하지 않고 도매업자, 소매업자, 산업단체 및 기관 등에 재판매하는 산업활동을 말한다. 도매업의 형태는 크게 일반도매업, 상품중개업, 무역업으로 분류된다. 일반도매업은 판매하는 상품에 대한 소유권을 갖고 재판매를 목적으로 하는 도·소매업자, 산업 및 상업단체, 기관 등에 판매하는 활동을 말한다.(소매업자 또는 다른 도매업자에게 상품을 판매하는 경우, 광공업·운수통신업 등 산업 및 상업사용자와 관공서·병원 등 기관이나 전문적인 사용자에게 대량의 상품을 판매하는 경우, 호텔·여관·병원·이발소·미용실 등 서비스업자에게 상품을 판매하는 경우, 광업 및 제조업체가 다른 장소에서 판매지부나 영업소 등을 설치하여 상기 3가지 예와 같이 상품을 판매하는 경우) 상품중개업은 판매하는 상품에 대한 소유권을 갖지 않고 수수료 또는 계약에 의하여 상품을 도매하는 대리점이나 상품을 중개하는 활동을 말한다. 무역업은 자기계정으로 구입한 전문 또는 종합상품의 대외거래만을 전업으로 하는 사업체의 산업활동을 말한다."
246,도소매업판매액지수,"도·소매업의 작성하는 지표이며, 지수의 종류로는 경상금액지수, 불변금액지수, 계절조정지수가 월평균 판매액으로 나누어 업종별 가중치(1995년 업종별 판매액 구성비)로 따라 어떻게 변화하였는가를 분석하고자 할 경우에 활용된다. 불변가격지수는 작성한 것으로 장기간에 걸친 이들 업종의 실질성장 및 판매구조변동을 요인이나 경제외적인 불규칙 요인을 제외한 지수로서 순수한 경기변동을 파악하기 위하여 작성한 지수이다"
247,도수,일정 사상이 일어나는 횟수 또는 특정계급에 속한 개체수 등을 말한다. 일반적으로 도수분포표에서 각 계급에 속한 사상의 수 또는 변량의 수를 뜻한다. 이러한 도수는 절대값이나 또는 상대값으로 표시한다.
248,도수분포,관찰된 변량을 적당한 크기의 구간으로 나누어 구간별 관찰값의 수를 대응시킨 표를 말한다. 이것은 모집단 분포의 추정을 위해서 작성된다. (작성방법은 먼저 구간 수를 결정해야 하는데 이것은 Sturges 공식에 의해서 즉 K=1+3.3logN에 의한 정수로 한다. 그러나 이 공식을 반드시 따를 필요는 없다.)
249,독점과 과점,"독점은 경쟁자가 없는 상태, 즉 완전경쟁의 정반대인 시장형태이다. 만약 우리나라에 병원이 한 곳밖에 없다면 어떻게 될까? 진료비를 아무리 비싸게 받더라도, 의사와 간호사들이 아무리 불친절해도 아픈 사람들은 할 수 없이 그 병원으로 갈 수 밖에 없다.
이와같이 어떤 상품이나 서비스를 제공하는 기업이 하나뿐인 경우 그 기업이 그 상품이나 서비스를 독점하고 있다고 말하고, 이런 기업을 독점기업이라고 한다. 독점은 아니라도 어떤 상품이나 서비스를 제공하는 기업이 소수에 불과할 때는 과점이라고 표현한다.

독점은 시장내의 가격형성 측면에서 중요한 의미가 있는데, 시장에서 어떤 상품의 공급자 또는 수요자의 수가 극히 적어 그의 공급량 또는 수요량의 증감에 의하여 시장가격을 좌우할 수 있는 시장형태를 말한다. 독점기업은 수요자의 사정은 고려하지 않고 자신의 이윤이 극대가 되도록 가격을 결정한다. 경쟁에 의하여 수요?공급의 상호관계에 의하여 시장가격이 결정되는 것과 비교해 볼 때 근본적인 차이가 있다.

독점기업이나 과점기업은 마음대로 가격을 올리거나 생산량을 줄여 소비자들에게 피해를 줄 수 있기 때문에 세계 각국에서는 독점이나 과점을 막기 위해 노력하고 있다. 우리나라에서도 “독점규제 및 공정거래에 관한 법률“이라는 법을 통하여 기업들이 시장에서 소비자에 대하여 힘을 남용하고 불공정한 거래행위를 하는 것을 규제하여 경제전반의 공정하고 자유로운 경쟁을 촉진하고 있다."
250,디플레이션,"디플레이션(deflation)은 물가가 지속적으로 하락하는 현상을 의미한다. 이는 물가의 지속적 상승을 의미하는 인플레이션에 대응되는 용어로 사용된다. 디플레이션이 발생하는 원인으로는 생산물의 과잉공급, 자산거품 붕괴, 과도한 통화 긴축정책, 생산성 향상 등의 다양한 이유가 제시되고 있다. 그러나 궁극적으로는 유통되는 통화의 양이 재화 및 서비스의 양보다도 적기 때문에 화폐가치는 상승하고 반대로 물가는 하락하는 디플레이션이 발생한다는 점에 이견이 없다.

디플레이션이 발생하면 통화의 가치는 상승하고 실물자산의 가치는 하락함에 따라 인플레이션과 반대 방향으로 소득 및 부의 비자발적 재분배가 발생한다. 예를 들면 매달 일정한 고정소득을 얻는 월급생활자나 채권자는 유리하게 되지만 소득이 가변적인 자영업자나 채무자는 불리해지게 된다. 그러나 디플레이션은 일반적으로 경제전체의 생산 및 부의 감소, 실업증가 등을 동반하므로 고정소득자나 채권자 등이 일시적으로 상대적인 이익을 보더라도 궁극적으로는 경기침체의 고통을 피할 수 없다.

이와 같은 디플레이션의 해악을 잘 보여주는 역사적 사례로는 1929년 10월 미국의 뉴욕 주식시장 주가폭락을 계기로 시작된 대공황이 있다. 자산거품 붕괴, 생산물의 과잉공급 등 여러 가지 이유가 겹치면서 발생한 디플레이션은 대규모 기업파산, 실직자 증가 등을 유발하였으며 이로 인한 피해는 세계적으로 파급되어 이후 제2차 세계대전 이전까지 10년간 세계경제를 장기불황으로 몰아넣었다.

한편 오늘날 대부분의 국가들이 통화발행이 용이한 관리통화제도(정부가 보유한 실질자산의 가치와 무관하게 중앙은행이 법에 따라 통화를 찍어냄으로써 즉시 유통이 가능한 화폐제도)를 채택함으로써 디플레이션보다는 인플레이션의 위험이 더 커졌고 이로 인해 상대적으로 디플레이션의 위험은 감소한 것처럼 보이기도 한다. 그러나 1990년대 초반 일본의 자산거품 붕괴로 인한 디플레이션 경험에서 볼 수 있듯이 디플레이션은 여전히 오늘날에도 언제든지 경제전체에 큰 해악을 미칠 수 있는 가능성을 지니고 있다."
251,디플레이터,명목GDP를 실질GDP로 나눈 값으로 나라 경제의 전반적인 물가수준을 의미
252,라스파이레스지수,"Laspeyres, E.에 의해 1871년에 창안된 지수의 한 형태로 우리 나라를 비롯한 대부분의 국가에서 물가지수나 생산지수 작성에 사용되고 있다. 물가지수의 경우 우선 기준시점에서 일군의 품목집합가격과 수량을 파악하여 기준시점가격과 기준시점수량을 정한 후 비교시점에서는 기준시점수량은 고정시키고 가격의 변동분만을 반영한 비교시점가격·기준시점수량을 기준시점가격·수량과 대비하여 물가지수를 계산하는 방법이다"
253,로렌쯔곡선,"소득이나 부와 같은 경제력의 소유에 대한 집중도를 그래프로 보여주는 방법으로서 해당 변량의 누적분포량이 수직좌표에, 그것을 소유하는 개인의 누적도수분포가 수평좌표에 표시된 상태에서 나타나는 곡선을 말한다"
254,리스,"리스회사를 통하여 기계, 설비 및 도구 등을 장기간에 걸친 임대차로 구입한 경우를 말하며, 융자가 시설의 형태로 이루어질 뿐 융자내용은 완전히 설비금융인 금융리스와 물건의 단순 임대를 목적으로 하는 렌틀리스, 그리고 제조업자의 판매촉진을 목적으로 하는 운용리스 등으로 구분된다."
255,링크,"①하이퍼텍스트에서의 링크는 한 단어나 그림 또는 정보개체로부터 다른 곳으로 선택적인 연결을 제공하는 부분을 의미하며, 월드 와이드 웹과 같은 멀티미디어 환경에서는 소리나 동영상 등도 링크를 통해 연결될 수 있다. 가장 일반적인 형태의 링크는 밑줄쳐진 단어와 마우스를 가져다대면 커서가 손바닥으로 변하는 그림이며, 사용자가 링크를 선택하는 즉시 다른 파일을 가져다 그 내용을 보여주게 된다. 강조되어 있는 개체는 앵커라고 부르는데, 앵커와 그 개체가 합쳐져 하이퍼텍스트 링크를 구성한다. 링크야말로 월드 와이드 웹을 가치있게 만드는 요체이다.
②통신에서 링크는 두 점간의 물리적인 연결을 말한다(어떤 경우에는 논리적 연결까지를 포함한다)."
256,매입채무,매입채무는 일반적인 상거래에서 발생한 외상매입금과 지급어음을 말한다. 외상매입금은 상품 또는 원재료 등의 매입과 같은 일반적인 상거래에서 발생한 채무로서 매입에누리 및 환출 등을 차감한 순액으로 기재한다. 지급어음은 일반적인 상거래에서 발생한 어음상의 채무로서 상품이나 원재료의 매입대금에 대하여 약속어음을 발행하거나 타인발행의 환어음을 인수한 경우에 발생한 채무를 말한다. 따라서 상거래를 원인으로 하는 상업어음만 계상하게 되며 자금조달을 위한 융통어음은 단기차입금으로 처리하게 된다.
257,매입채무회전율 ,"기업의 부채중에서도 특히 매입채무가 원활히 결제되고 있는가의 여부, 즉 지급능력의 상태를 나타내는 지표이다. 매출액을 매입채무로 나누어 계산한다 동비율이 높을수록 기업의 지급능력이 양호한 상태임을 나타내지만 기준이 되는 일정한 비율은 없고 일반적으로 동일업종의 평균비율과 비교, 판단하게 된다."
258,매장면적,"사업체가 영업활동을 위하여 실제로 사용하고 있는 면적을 말한다. 따라서 자기 소유의 매장이라 하더라도 타인에게 임대한 매장부분은 제외되며, 주거병용의 경우 순수한 사업목적으로 사용되고 있는 면적만을 매장면적으로 한다. 판매보조를 위한 자가 및 임차 창고, 관리업무 보조사무소 등은 매장면적에 포함된다. 백화점은 직영하는 부분만 포함되고 분양이나 임대된 면적은 제외되며 분양이나 임대된 사업체는 개별 사업체로 본다"
259,매출액 ,"매출액은 상(제)품의 매출 또는 용역의 제공에 따른 수입금액으로서 반제품, 부산품, 작업폐물 등을 포함한 총매출액에서 매출환입액, 에누리액 및 매출할인을 공제한 순매출액을 말한다.
상(제)품의 판매수익은 재화의 소유에 따른 위험과 효익의 대부분이 구매자에게 이전되고, 그 대가로 기업에 귀속되는 경제적 효익의 유입가능성이 매우 높으며, 수익과 거래원가 및 비용을 신뢰성 있게 측정할 수 있을 때 인식한다. 용역 수익은 거래 전체의 수익금액과 진행률, 원가 등을 신뢰성 있게 측정할 수 있을 때 인식한다."
260,매출액경상이익률 ,"기업경영활동의 성과를 총괄적으로 표시하는 대표적인 지표로서 기업의 주된 영업활동뿐만 아니라 재무활동에서 발생한 경영성과를 동시에 포착할 수 있다.
그러므로 매출액영업이익률과 괴리가 크게 나는 경우 영업외수익이나 비용, 특히 차입금이나 외화자산·부채 등의 변화를 동시에 살펴하여야 한다. 매출액경상이익률은 높을수록 우수하나 일반적으로 산업평균 등과 비교하여 수익성의 적정여부를 평가하게 된다."
261,매출액순이익률 ,"매출액에 대한 당기순이익의 비율로서 기업의 최종적인 이익획득의 비율을 표시한다. 일정한 표준비율은 없고 높을수록 양호, 전기 및 동업계비율보다 높을수록 양호하다."
262,매출액영업이익률 ,기업의 주된 영업활동에 의한 성과를 판단하기 위한 지표로서 제조 및 판매활동과 직접 관계가 없는 영업외손익을 제외한 순수한 영업이익만을 매출액과 대비한 것으로 영업효율성을 나타내는 지표이다. 이 비율의 변동요인을 구체적으로 파악하기 위해서는 다음과 같이 구분하여 볼 수 있다. 아래의 구분에 의해 매출액영업이익률의 변화가 어느 부문활동의 효율성 변화에 기인하는지 파악이 가능하다.
